,fecha,nombre,provincia,altitud,tmed,prec,tmin,tmax,velmedia,racha
866,2022-01-04,TORROX,MALAGA,3,"14,8","0,0","8,0","21,6","4,4","15,6"
869,2022-01-04,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"15,0","0,4","8,2","21,8","2,2","15,0"
870,2022-01-04,GRANADA AEROPUERTO,GRANADA,560,"8,8","0,6","-0,3","17,9","0,6","16,9"
873,2022-01-04,FUENGIROLA,MALAGA,8,,"0,2",,,"2,8","12,2"
898,2022-01-04,ABLA,ALMERIA,869,"14,7","0,0","7,6","21,8","1,7","11,4"
901,2022-01-04,ALAJAR,HUELVA,572,"8,8","0,6","6,5","11,2","4,4","15,8"
907,2022-01-04,LOJA,GRANADA,760,"10,0",,"3,4","16,6","2,5","11,7"
908,2022-01-04,MÁLAGA AEROPUERTO,MALAGA,7,"14,7","0,3","7,1","22,3","3,6","13,3"
923,2022-01-04,GRAZALEMA,CADIZ,913,"10,4","2,8","5,9","14,9","2,5","11,4"
928,2022-01-04,ANDÚJAR,JAEN,202,"7,3","3,8","2,7","11,9","3,1","11,1"
930,2022-01-04,CÁDIZ,CADIZ,2,"16,0","0,2","12,8","19,3","4,2","12,8"
941,2022-01-04,ALMERÍA AEROPUERTO,ALMERIA,21,"13,6","0,0","9,4","17,7","6,7","20,0"
945,2022-01-04,"HUELVA, RONDA ESTE",HUELVA,18,"13,0",Ip,"9,7","16,2","2,8","13,6"
948,2022-01-04,"ROTA, BASE NAVAL",CADIZ,21,"14,2","0,0","8,8","19,7","4,2","13,9"
950,2022-01-04,AYAMONTE,HUELVA,3,"13,6","0,1","9,3","18,0","1,7","10,3"
959,2022-01-04,TARIFA,CADIZ,32,"13,6","0,2","10,8","16,5","5,0","14,2"
968,2022-01-04,LA RODA DE ANDALUCÍA,SEVILLA,410,"11,2","2,4","4,7","17,6","2,5","11,7"
972,2022-01-05,ANTEQUERA,MALAGA,408,"6,6","2,9","2,5","10,7","1,4","8,1"
984,2022-01-05,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
990,2022-01-05,HUÉRCAL-OVERA,ALMERIA,300,"10,9","0,0","7,0","14,8","5,0","15,8"
1012,2022-01-05,ADRA,ALMERIA,8,"15,8","0,1","12,2","19,4","0,8","6,7"
1016,2022-01-05,SANTA ELENA,JAEN,770,"5,2","10,6","2,1","8,4","2,2","12,5"
1018,2022-01-05,ARROYO DEL OJANCO,JAEN,580,"6,8","15,3","4,1","9,6",,
1027,2022-01-05,GRANADA BASE AÉREA,GRANADA,687,"5,4","8,4","0,4","10,5","3,3","9,7"
1030,2022-01-05,"MOGUER, EL ARENOSILLO",HUELVA,41,"10,8","0,2","6,1","15,4","2,8","11,1"
1036,2022-01-05,VEJER DE LA FRONTERA,CADIZ,186,"11,2","3,9","8,5","13,9","3,3","15,0"
1040,2022-01-05,DOÑA MENCÍA,CORDOBA,650,"6,8","5,9","3,7","10,0","3,1","15,3"
1045,2022-01-05,CÓRDOBA AEROPUERTO,CORDOBA,90,"9,2","0,1","3,8","14,5","3,1","10,8"
1047,2022-01-05,ÉCIJA,SEVILLA,130,"10,0","0,0","5,0","15,0","2,2","10,8"
1050,2022-01-05,ESTEPONA,MALAGA,19,"13,6","2,6","10,6","16,5","3,6","12,5"
1056,2022-01-05,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"9,7","2,4","3,2","16,2","2,8","8,9"
1060,2022-01-05,MORÓN DE LA FRONTERA,SEVILLA,87,"9,8","0,9","5,1","14,6","1,9","11,1"
1061,2022-01-05,BAZA,GRANADA,785,"6,6","3,8","3,4","9,8","4,4","13,9"
1062,2022-01-05,SAN FERNANDO,CADIZ,28,"13,2","2,0","11,1","15,3","4,2","13,1"
1078,2022-01-05,HINOJOSA DEL DUQUE,CORDOBA,551,"6,4","1,9","2,1","10,8","3,1","9,4"
1084,2022-01-05,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"5,4","4,8","2,0","8,8","3,9","10,3"
1091,2022-01-05,CAZALLA DE LA SIERRA,SEVILLA,550,"7,2","2,4","3,6","10,7","3,1","9,4"
1095,2022-01-05,JAÉN,JAEN,580,"7,0","6,8","4,8","9,3","3,9","14,7"
1107,2022-01-05,SEVILLA AEROPUERTO,SEVILLA,34,"10,9",Ip,"5,6","16,2","3,1","9,7"
1108,2022-01-05,TORROX,MALAGA,3,"14,4","2,0","11,2","17,7","4,7","17,2"
1111,2022-01-05,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,54,"12,4","3,2","9,2","15,7","3,1","12,5"
1112,2022-01-05,GRANADA AEROPUERTO,GRANADA,560,"7,4","6,7","3,9","11,0","2,8","13,3"
1115,2022-01-05,FUENGIROLA,MALAGA,8,,"0,4",,,"3,1","11,7"
1140,2022-01-05,ABLA,ALMERIA,869,"8,9","3,1","4,5","13,3","2,5","11,1"
1143,2022-01-05,ALAJAR,HUELVA,572,"8,6","1,6","6,3","11,0","4,7","15,0"
1150,2022-01-05,LOJA,GRANADA,760,"7,5",,"4,8","10,2","1,9","9,4"
1151,2022-01-05,MÁLAGA AEROPUERTO,MALAGA,7,"13,0","1,6","10,0","16,0","5,3","14,4"
